x ,	 y,	 Radius,	 Threshold 
140 , 398 , 67 , 0.98
308 , 567 , 71 , 0.97
308 , 567 , 69 , 0.97
406 , 549 , 73 , 0.95
406 , 549 , 71 , 0.95
140 , 398 , 69 , 0.93
175 , 490 , 69 , 0.89
272 , 475 , 69 , 0.88
272 , 473 , 69 , 0.84
175 , 488 , 69 , 0.84
274 , 473 , 69 , 0.83
273 , 473 , 69 , 0.81
274 , 475 , 69 , 0.81
177 , 490 , 69 , 0.8
177 , 488 , 69 , 0.79
176 , 490 , 69 , 0.75
176 , 488 , 69 , 0.74
177 , 489 , 69 , 0.72
142 , 398 , 69 , 0.71
139 , 398 , 69 , 0.7
310 , 567 , 71 , 0.7
272 , 474 , 69 , 0.68
142 , 397 , 69 , 0.67
273 , 475 , 69 , 0.67
307 , 567 , 71 , 0.67
307 , 567 , 69 , 0.67
274 , 474 , 69 , 0.66
310 , 566 , 71 , 0.66
140 , 396 , 69 , 0.65
405 , 549 , 71 , 0.65
309 , 565 , 71 , 0.65
139 , 398 , 67 , 0.64
141 , 396 , 69 , 0.64
408 , 549 , 73 , 0.64
141 , 398 , 69 , 0.63
140 , 399 , 69 , 0.63
141 , 398 , 67 , 0.63
175 , 489 , 69 , 0.63
405 , 549 , 73 , 0.63
404 , 550 , 71 , 0.63
139 , 400 , 67 , 0.62
407 , 549 , 73 , 0.62
306 , 568 , 69 , 0.62
307 , 569 , 69 , 0.62
138 , 399 , 67 , 0.61
407 , 549 , 71 , 0.61
309 , 567 , 71 , 0.61
308 , 565 , 71 , 0.61
140 , 400 , 69 , 0.6
138 , 398 , 67 , 0.6
174 , 489 , 69 , 0.6
176 , 491 , 69 , 0.6
406 , 550 , 71 , 0.6
306 , 566 , 69 , 0.6
308 , 566 , 71 , 0.6
140 , 397 , 69 , 0.59
271 , 475 , 69 , 0.59
273 , 476 , 69 , 0.59
408 , 548 , 73 , 0.59
308 , 568 , 71 , 0.59
406 , 547 , 73 , 0.59
140 , 399 , 67 , 0.58
271 , 474 , 69 , 0.58
174 , 490 , 69 , 0.58
